Position, Position error, Orientation error, Joint error
[0.7 1.2 0. ], [ 1.036  1.068 -0.912], [-0.187 -0.796  0.2    0.435], [-0.    -1.56   0.    -0.717 -0.    -3.476 -0.477  0.     0.   ]
[0.  1.3 0. ], [ 0.099  1.184 -0.892], [ 0.123 -0.786  0.123  0.546], [-0.    -1.56   0.    -0.719 -0.    -3.384 -0.     0.    -0.   ]
[0.1 1.3 0. ], [ 0.24   1.189 -0.898], [ 0.039 -0.801  0.13   0.55 ], [-0.    -1.559 -0.    -0.719 -0.    -3.394 -0.    -0.    -0.   ]
[0.2 1.3 0. ], [ 0.377  1.19  -0.902], [-0.022 -0.806  0.14   0.541], [-0.    -1.559 -0.    -0.718 -0.    -3.406 -0.045  0.    -0.   ]
[0.3 1.3 0. ], [ 0.511  1.19  -0.905], [-0.056 -0.808  0.152  0.518], [ 0.    -1.559 -0.    -0.718  0.    -3.421 -0.137  0.    -0.   ]
[0.4 1.3 0. ], [ 0.641  1.187 -0.908], [-0.087 -0.809  0.164  0.498], [ 0.    -1.559 -0.    -0.718  0.    -3.437 -0.219 -0.     0.   ]
[0.5 1.3 0. ], [ 0.767  1.183 -0.91 ], [-0.114 -0.807  0.174  0.481], [-0.    -1.559 -0.    -0.717 -0.    -3.454 -0.291  0.    -0.   ]
[0.6 1.3 0. ], [ 0.89   1.178 -0.911], [-0.138 -0.806  0.184  0.466], [-0.    -1.56   0.    -0.717 -0.    -3.473 -0.355  0.    -0.   ]
[0.7 1.3 0. ], [ 1.01   1.173 -0.913], [-0.16  -0.803  0.192  0.453], [-0.    -1.56  -0.    -0.717 -0.    -3.492 -0.411  0.    -0.   ]
[0.  1.4 0. ], [ 0.087  1.28  -0.891], [ 0.147 -0.78   0.121  0.546], [-0.    -1.561 -0.    -0.719 -0.    -3.409  0.    -0.     0.   ]
[0.1 1.4 0. ], [ 0.223  1.285 -0.897], [ 0.072 -0.798  0.129  0.55 ], [-0.    -1.56  -0.    -0.719 -0.    -3.418  0.    -0.     0.   ]
[0.2 1.4 0. ], [ 0.358  1.287 -0.901], [ 0.    -0.806  0.135  0.554], [-0.    -1.56   0.    -0.718 -0.    -3.429  0.     0.     0.   ]
[0.3 1.4 0. ], [ 0.489  1.288 -0.905], [-0.034 -0.809  0.147  0.533], [ 0.    -1.56   0.    -0.718 -0.    -3.443 -0.083  0.    -0.   ]
[0.4 1.4 0. ], [ 0.618  1.286 -0.908], [-0.063 -0.811  0.158  0.514], [-0.    -1.56  -0.    -0.718 -0.    -3.457 -0.161 -0.     0.   ]
[0.5 1.4 0. ], [ 0.743  1.284 -0.91 ], [-0.09  -0.811  0.168  0.497], [-0.    -1.56  -0.    -0.717 -0.    -3.474 -0.232  0.     0.   ]
[0.6 1.4 0. ], [ 0.866  1.28  -0.912], [-0.113 -0.81   0.178  0.482], [ 0.    -1.56   0.    -0.717 -0.    -3.491 -0.295 -0.     0.   ]
[0.7 1.4 0. ], [ 0.986  1.276 -0.914], [-0.135 -0.809  0.186  0.469], [-0.    -1.561  0.    -0.717 -0.    -3.509 -0.352 -0.     0.   ]
[0.7 1.4 0. ], [ 0.986  1.276 -0.914], [-0.135 -0.809  0.186  0.469], [-0.    -1.561  0.    -0.717 -0.    -3.509 -0.352 -0.     0.   ]
