Position, Position error, Orientation error, Joint error
[0.4 1.1 0. ], [0.251 0.233 0.002], [0.002 0.047 0.001 0.001], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.5 1.1 0. ], [0.322 0.258 0.002], [0.006 0.056 0.001 0.001], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.6 1.1 0. ], [0.398 0.281 0.001], [0.011 0.066 0.002 0.002], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.7 1.1 0. ], [0.478 0.301 0.001], [0.017 0.075 0.002 0.002], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.  1.2 0. ], [0.069 0.202 0.001], [-0.013  0.027  0.     0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.1 1.2 0. ], [0.109 0.224 0.001], [-0.011  0.033  0.     0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.2 1.2 0. ], [0.158 0.249 0.001], [-0.009  0.04   0.001  0.001], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.3 1.2 0. ], [0.214 0.275 0.002], [-0.006  0.048  0.001  0.001], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.4 1.2 0. ], [0.277 0.3   0.002], [-0.002  0.056  0.001  0.001], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.5 1.2 0. ], [0.346 0.324 0.001], [0.002 0.065 0.001 0.001], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.6 1.2 0. ], [0.42  0.346 0.001], [0.007 0.074 0.002 0.002], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.7 1.2 0. ], [0.497 0.366 0.001], [0.013 0.083 0.003 0.003], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.  1.3 0. ], [0.087 0.29  0.002], [-0.02   0.037  0.001  0.001], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.1 1.3 0. ], [0.131 0.307 0.002], [-0.017  0.043  0.001  0.001], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.2 1.3 0. ], [0.181 0.328 0.002], [-0.014  0.05   0.001  0.001], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.3 1.3 0. ], [0.238 0.35  0.001], [-0.011  0.057  0.001  0.001], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.4 1.3 0. ], [0.301 0.373 0.001], [-0.007  0.065  0.002  0.002], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.5 1.3 0. ], [0.368 0.395 0.001], [-0.003  0.074  0.002  0.002], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.6 1.3 0. ], [0.44  0.416 0.001], [0.002 0.083 0.002 0.002], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.7 1.3 0. ], [0.516 0.436 0.   ], [0.008 0.091 0.003 0.003], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.  1.4 0. ], [0.101 0.379 0.002], [-0.027  0.047  0.001  0.001], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.1 1.4 0. ], [0.149 0.393 0.002], [-0.024  0.053  0.001  0.001], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.2 1.4 0. ], [0.201 0.411 0.001], [-0.02   0.059  0.001  0.001], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.3 1.4 0. ], [0.259 0.43  0.001], [-0.017  0.067  0.002  0.002], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.4 1.4 0. ], [0.322 0.45  0.001], [-0.012  0.075  0.002  0.002], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.5 1.4 0. ], [0.389 0.47  0.001], [-0.008  0.083  0.002  0.002], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.6 1.4 0. ], [0.46  0.49  0.001], [-0.003  0.091  0.003  0.003], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.7 1.4 0. ], [0.535 0.508 0.   ], [0.002 0.1   0.004 0.004], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.7 1.4 0. ], [0.535 0.508 0.   ], [0.002 0.1   0.004 0.004], [0. 0. 0. 0. 0. 0. 0. 0. 0.]
