Position, Position error, Orientation error, Joint error
[0.2 1.1 0. ], [-0.057  0.722 -0.935], [ 0.366 -0.708  0.103  0.688], [ 0.    -0.639 -1.523 -0.    -0.245  0.    -3.329 -0.066  0.    -0.   ]
[0.3 1.1 0. ], [ 0.067  0.73  -0.945], [ 0.422 -0.663  0.092  0.645], [ 0.247 -1.142 -1.52   0.    -0.04   0.    -3.333 -0.308  0.    -0.   ]
[0.4 1.1 0. ], [ 0.054  0.656 -0.891], [ 0.318 -0.728  0.107  0.801], [ 0.646 -1.877 -1.539 -0.    -0.559  0.    -3.323 -0.531 -0.     0.   ]
[0.5 1.1 0. ], [ 0.154  0.655 -0.891], [ 0.319 -0.728  0.108  0.802], [ 0.698 -2.132 -1.555 -0.    -0.701 -0.    -3.329 -0.594 -0.     0.   ]
[0.6 1.1 0. ], [-0.123  0.164 -0.07 ], [ 0.089  0.125 -0.196  0.305], [ 0.709  0.    -0.    -0.    -1.448  0.    -0.117  0.     0.    -0.   ]
[0.7 1.1 0. ], [-0.054  0.292 -0.049], [ 0.059  0.132 -0.05   0.07 ], [ 0.577  0.    -0.    -0.    -0.756  0.    -0.157  0.     0.    -0.   ]
[0.  1.2 0. ], [ 0.148  0.893 -0.882], [ 0.159 -0.767  0.087  0.676], [-1.038 -0.    -1.599  0.    -1.2   -0.    -3.253 -0.111  0.     0.   ]
[0.1 1.2 0. ], [-0.209  0.779 -0.917], [ 0.393 -0.691  0.1    0.715], [ 0.296 -0.689 -1.512  0.    -0.214  0.    -3.34   0.     0.    -0.   ]
[0.2 1.2 0. ], [-0.063  0.807 -0.938], [ 0.398 -0.685  0.097  0.686], [ 0.475 -1.127 -1.514  0.    -0.105  0.    -3.339 -0.103  0.     0.   ]
[0.3 1.2 0. ], [-0.004  0.777 -0.921], [ 0.362 -0.71   0.104  0.744], [ 0.778 -1.763 -1.53   0.    -0.368  0.    -3.329 -0.323  0.    -0.   ]
[0.4 1.2 0. ], [ 0.055  0.75  -0.895], [ 0.322 -0.731  0.112  0.803], [ 0.861 -2.104 -1.552 -0.    -0.682  0.    -3.325 -0.421 -0.    -0.   ]
[0.5 1.2 0. ], [ 0.154  0.754 -0.892], [ 0.32  -0.728  0.108  0.803], [ 0.808 -2.154 -1.558 -0.    -0.716  0.    -3.342 -0.491 -0.    -0.   ]
[0.6 1.2 0. ], [ 0.253  0.754 -0.891], [ 0.32  -0.728  0.107  0.803], [ 0.748 -2.158 -1.559  0.    -0.719 -0.    -3.364 -0.552  0.    -0.   ]
[0.7 1.2 0. ], [-0.035  0.432 -0.014], [ 0.029  0.093 -0.007  0.014], [ 0.693 -0.    -0.     0.    -0.722 -0.    -0.144  0.    -0.     0.   ]
[0.  1.3 0. ], [ 0.026  0.881 -0.874], [ 0.333 -0.7    0.079  0.773], [-1.485  0.235 -1.591 -0.    -1.201  0.    -3.261 -0.    -0.    -0.   ]
[0.1 1.3 0. ], [ 0.128  0.872 -0.881], [ 0.308 -0.719  0.091  0.8  ], [-1.834  0.598 -1.587 -0.    -1.075  0.    -3.267 -0.028 -0.    -0.   ]
[0.2 1.3 0. ], [-0.122  0.87  -0.909], [ 0.344 -0.717  0.103  0.766], [ 1.021 -1.836 -1.535  0.    -0.443  0.    -3.327 -0.137  0.    -0.   ]
[0.3 1.3 0. ], [-0.044  0.848 -0.896], [ 0.324 -0.732  0.115  0.803], [ 1.04  -2.098 -1.551  0.    -0.677  0.    -3.326 -0.24   0.    -0.   ]
[0.4 1.3 0. ], [ 0.057  0.847 -0.897], [ 0.325 -0.732  0.116  0.803], [ 0.972 -2.151 -1.556  0.    -0.714  0.    -3.34  -0.326  0.    -0.   ]
[0.5 1.3 0. ], [ 0.156  0.848 -0.895], [ 0.324 -0.731  0.114  0.803], [ 0.898 -2.158 -1.558 -0.    -0.719 -0.    -3.359 -0.402  0.     0.   ]
[0.6 1.3 0. ], [ 0.254  0.852 -0.893], [ 0.322 -0.728  0.11   0.803], [ 0.833 -2.158 -1.559  0.    -0.719  0.    -3.379 -0.467 -0.    -0.   ]
[0.7 1.3 0. ], [ 0.353  0.853 -0.891], [ 0.321 -0.727  0.108  0.804], [ 0.777 -2.158 -1.56   0.    -0.719 -0.    -3.401 -0.523  0.    -0.   ]
[0.  1.4 0. ], [ 0.024  0.989 -0.869], [ 0.367 -0.676  0.068  0.732], [-1.935  1.104 -1.569 -0.    -0.897 -0.    -3.294  0.     0.     0.   ]
[0.1 1.4 0. ], [ 0.126  0.981 -0.875], [ 0.326 -0.704  0.08   0.778], [-2.129  1.256 -1.565 -0.    -0.802 -0.    -3.307 -0.    -0.    -0.   ]
[0.2 1.4 0. ], [ 0.229  0.969 -0.883], [ 0.311 -0.722  0.095  0.801], [-2.275  1.331 -1.562  0.    -0.752 -0.    -3.323 -0.054  0.    -0.   ]
[0.3 1.4 0. ], [-0.044  0.949 -0.895], [ 0.324 -0.731  0.114  0.803], [ 1.137 -2.152 -1.557 -0.    -0.715  0.    -3.343 -0.161 -0.    -0.   ]
[0.4 1.4 0. ], [ 0.057  0.945 -0.898], [ 0.327 -0.733  0.118  0.804], [ 1.051 -2.157 -1.558  0.    -0.718  0.    -3.359 -0.249 -0.    -0.   ]
[0.5 1.4 0. ], [ 0.157  0.944 -0.898], [ 0.327 -0.733  0.118  0.804], [ 0.975 -2.158 -1.558 -0.    -0.719  0.    -3.377 -0.325 -0.    -0.   ]
[0.6 1.4 0. ], [ 0.256  0.946 -0.896], [ 0.326 -0.731  0.115  0.804], [ 0.908 -2.158 -1.559  0.    -0.719  0.    -3.397 -0.392  0.     0.   ]
[0.7 1.4 0. ], [ 0.354  0.95  -0.894], [ 0.324 -0.729  0.111  0.804], [ 0.851 -2.158 -1.561  0.    -0.719  0.    -3.416 -0.45  -0.     0.   ]
[0.7 1.4 0. ], [ 0.354  0.95  -0.894], [ 0.324 -0.729  0.111  0.804], [ 0.851 -2.158 -1.561  0.    -0.719  0.    -3.416 -0.45  -0.     0.   ]
