Position, Position error, Orientation error, Joint error
[0.5 1.1 0. ], [ 0. -0.  0.], [ 0.  0.  0. -0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.6 1.1 0. ], [ 0. -0.  0.], [ 0.  0.  0. -0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.7 1.1 0. ], [ 0. -0.  0.], [ 0.  0.  0. -0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.  1.2 0. ], [ 0. -0. -0.], [ 0.  0.  0. -0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.1 1.2 0. ], [ 0. -0. -0.], [ 0.  0.  0. -0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.2 1.2 0. ], [ 0. -0. -0.], [ 0.  0.  0. -0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.3 1.2 0. ], [ 0.  0. -0.], [ 0.  0.  0. -0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.4 1.2 0. ], [-0.  0. -0.], [-0. -0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.5 1.2 0. ], [ 0. -0.  0.], [ 0.  0.  0. -0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.6 1.2 0. ], [ 0. -0.  0.], [ 0.  0.  0. -0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.7 1.2 0. ], [ 0. -0.  0.], [ 0.  0.  0. -0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.  1.3 0. ], [ 0. -0. -0.], [ 0.  0.  0. -0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.1 1.3 0. ], [ 0. -0. -0.], [ 0.  0.  0. -0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.2 1.3 0. ], [ 0. -0. -0.], [ 0.  0.  0. -0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.3 1.3 0. ], [ 0.  0. -0.], [ 0.  0.  0. -0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.4 1.3 0. ], [ 0.  0. -0.], [ 0.  0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.5 1.3 0. ], [ 0. -0.  0.], [ 0.  0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.6 1.3 0. ], [ 0. -0.  0.], [ 0.  0.  0. -0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.7 1.3 0. ], [ 0. -0.  0.], [ 0.  0.  0. -0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.  1.4 0. ], [ 0. -0. -0.], [ 0.  0.  0. -0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.1 1.4 0. ], [ 0. -0. -0.], [ 0.  0.  0. -0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.2 1.4 0. ], [ 0.  0. -0.], [ 0.  0.  0. -0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.3 1.4 0. ], [ 0.  0. -0.], [ 0.  0.  0. -0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.4 1.4 0. ], [ 0.  0. -0.], [ 0.  0.  0. -0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.5 1.4 0. ], [ 0.018 -0.     0.   ], [ 0.002  0.002 -0.     0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.6 1.4 0. ], [ 0.1   -0.     0.001], [0.01 0.01 0.   0.  ], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.7 1.4 0. ], [0.001 0.    0.   ], [ 0.  0.  0. -0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.7 1.4 0. ], [0.001 0.    0.   ], [ 0.  0.  0. -0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
